Unix Timestamp	Date	Symbol	Open	High	Low	Close	Volume
1.60E+12	10/22/2020 0:10	BTCUSD	12905.27	12906.87	12901.03	12903.23	0.29938573
1.60E+12	10/22/2020 0:09	BTCUSD	12913.39	12913.46	12903.39	12905.27	0.054277203
1.60E+12	10/22/2020 0:08	BTCUSD	12898.96	12926.39	12898.12	12913.39	1.083219306
1.60E+12	10/22/2020 0:07	BTCUSD	12888.92	12898.96	12887.78	12898.96	2.164369743
1.60E+12	10/22/2020 0:06	BTCUSD	12885.01	12895.27	12883.11	12888.92	0.80045514
1.60E+12	10/22/2020 0:05	BTCUSD	12886.92	12900.46	12885	12885.01	4.426497212
1.60E+12	10/22/2020 0:04	BTCUSD	12899.05	12899.05	12886.92	12886.92	0.38363637
1.60E+12	10/22/2020 0:03	BTCUSD	12873.57	12899.91	12873.57	12899.05	2.527958345
1.60E+12	10/22/2020 0:02	BTCUSD	12855.57	12875.64	12854.04	12873.57	1.752526794
1.60E+12	10/22/2020 0:01	BTCUSD	12832.76	12857.16	12832.76	12855.57	3.41678419
1.60E+12	10/22/2020 0:00	BTCUSD	12820.75	12832.76	12805.3	12832.76	7.824230056
1.60E+12	10/21/2020 23:59	BTCUSD	12846.68	12846.68	12820.75	12820.75	1.734569763
1.60E+12	10/21/2020 23:58	BTCUSD	12848.24	12849.1	12842.43	12846.68	1.43211806
1.60E+12	10/21/2020 23:57	BTCUSD	12849.54	12849.54	12845	12848.24	0.17675763
1.60E+12	10/21/2020 23:56	BTCUSD	12848.54	12849.54	12838.58	12849.54	0.3120243
1.60E+12	10/21/2020 23:55	BTCUSD	12839.95	12861.58	12839.34	12848.54	3.32277284
1.60E+12	10/21/2020 23:54	BTCUSD	12850.48	12850.48	12834.14	12839.95	0.056905228
1.60E+12	10/21/2020 23:53	BTCUSD	12840.43	12850.48	12840.43	12850.48	0.11448039
1.60E+12	10/21/2020 23:52	BTCUSD	12857.39	12857.39	12833.46	12840.43	0.18430056
1.60E+12	10/21/2020 23:51	BTCUSD	12834.21	12858.03	12832.14	12857.39	1.51097804
1.60E+12	10/21/2020 23:50	BTCUSD	12817.36	12835.88	12817.36	12834.21	2.94107329
1.60E+12	10/21/2020 23:49	BTCUSD	12813.28	12824.05	12813.28	12817.36	2.52764916
1.60E+12	10/21/2020 23:48	BTCUSD	12805.27	12813.95	12805.27	12813.28	0.05068868
1.60E+12	10/21/2020 23:47	BTCUSD	12817.69	12817.69	12795	12805.27	7.16824487
1.60E+12	10/21/2020 23:46	BTCUSD	12827.14	12835.46	12817.69	12817.69	0.81481742
1.60E+12	10/21/2020 23:45	BTCUSD	12828.14	12839.55	12824.57	12827.14	3.61321194
1.60E+12	10/21/2020 23:44	BTCUSD	12810.04	12828.14	12810.04	12828.14	0.595701246
1.60E+12	10/21/2020 23:43	BTCUSD	12823.58	12834.02	12810.04	12810.04	0.703308063
1.60E+12	10/21/2020 23:42	BTCUSD	12830	12830	12809.07	12823.58	5.77776675
1.60E+12	10/21/2020 23:41	BTCUSD	12851.58	12851.58	12820	12830	0.40769568
1.60E+12	10/21/2020 23:40	BTCUSD	12850.64	12860.37	12850.64	12851.58	2.70827305
1.60E+12	10/21/2020 23:39	BTCUSD	12874.59	12874.59	12850.64	12850.64	1.3964385
1.60E+12	10/21/2020 23:38	BTCUSD	12896.08	12903.1	12871.85	12874.59	1.28056526
1.60E+12	10/21/2020 23:37	BTCUSD	12904.27	12904.27	12893.03	12896.08	9.469890162
1.60E+12	10/21/2020 23:36	BTCUSD	12890.13	12904.94	12890.13	12904.27	1.941994809
1.60E+12	10/21/2020 23:35	BTCUSD	12879.52	12893	12879.52	12890.13	2.37940112
1.60E+12	10/21/2020 23:34	BTCUSD	12884.98	12885.05	12879.52	12879.52	0.19954996
1.60E+12	10/21/2020 23:33	BTCUSD	12882.05	12892.81	12881.66	12884.98	1.36225339
1.60E+12	10/21/2020 23:32	BTCUSD	12879.9	12885.99	12879.9	12882.05	0.07175074
1.60E+12	10/21/2020 23:31	BTCUSD	12875.9	12885.17	12875.74	12879.9	1.16923319
1.60E+12	10/21/2020 23:30	BTCUSD	12887.22	12889.49	12871.77	12875.9	2.119642672
1.60E+12	10/21/2020 23:29	BTCUSD	12894.27	12894.27	12887.22	12887.22	0.368041561
1.60E+12	10/21/2020 23:28	BTCUSD	12888.12	12894.27	12880.54	12894.27	3.03964414
1.60E+12	10/21/2020 23:27	BTCUSD	12900.01	12900.01	12881.99	12888.12	1.95324349
1.60E+12	10/21/2020 23:26	BTCUSD	12920.1	12922.46	12900	12900.01	0.07430561
1.60E+12	10/21/2020 23:25	BTCUSD	12889.23	12920.1	12889.23	12920.1	1.56211916
1.60E+12	10/21/2020 23:24	BTCUSD	12874.2	12889.61	12874.2	12889.23	0.53620031
1.60E+12	10/21/2020 23:23	BTCUSD	12884.68	12884.68	12855.09	12874.2	4.16732848
1.60E+12	10/21/2020 23:22	BTCUSD	12846.56	12884.68	12846.56	12884.68	0.1026554
1.60E+12	10/21/2020 23:21	BTCUSD	12800.34	12849.33	12792.88	12846.56	0.3908354
1.60E+12	10/21/2020 23:20	BTCUSD	12855.7	12864.98	12752.88	12800.34	30.79547014
1.60E+12	10/21/2020 23:19	BTCUSD	12871.2	12882.07	12843.74	12855.7	11.34849275
1.60E+12	10/21/2020 23:18	BTCUSD	12907.6	12907.6	12870.55	12871.2	1.57318342
1.60E+12	10/21/2020 23:17	BTCUSD	12905.54	12922.67	12897.85	12907.6	1.23874952
1.60E+12	10/21/2020 23:16	BTCUSD	12892.94	12916.77	12888.2	12905.54	0.73944375
1.60E+12	10/21/2020 23:15	BTCUSD	12908.28	12908.28	12867.82	12892.94	4.480449562
1.60E+12	10/21/2020 23:14	BTCUSD	12910.31	12917.02	12877.33	12908.28	7.26176969
